metric_name,entity_name,currency,date,item_segment,category_name,value,quarter_start,quarter_end
Gross Merchandise Volume - Total,eBay,USD,2021-05-02,International,Video Games,2347504.004511,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-04-13,United States,Sports,15715134.558384,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-04-05,United States,Parts & Accessories,26472207.791580,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-03-22,International,Collectibles & Art,9325237.050607,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-03-21,United States,Computers,6328539.767224,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-12-30,International,Sports,7754511.894165,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-11-22,International,Computers,8555064.427358,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-10-04,International,Home & Garden,32365484.429630,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-09-26,United States,Photo,1448594.541583,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-09-07,United States,Photo,1970883.542389,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-08-03,International,"Books, Movies & Music",2775210.128710,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-06-27,United States,Clothing & Accessories,13075929.884859,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-06-14,United States,Photo,1716224.875369,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-04-06,International,Musical Instruments,1664328.180090,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-03-14,International,Photo,2004845.473952,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-02-01,International,Sports,7030717.426608,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-12-06,International,Collectibles & Art,9739764.944838,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-11-23,United States,Collectibles & Art,11576513.822168,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-10-02,International,Health & Beauty,4685337.197174,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-08-24,United States,Home & Garden,8978947.122631,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-07-29,United States,Collectibles & Art,9753183.956929,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-07-02,United States,Sports,9794392.465421,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-06-19,International,Remaining Categories,319737.760678,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-06-10,International,Clothing & Accessories,17002932.701671,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-05-21,International,Computers,9020326.825187,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-05-18,United States,Remaining Categories,259773.499760,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-04-13,International,"Books, Movies & Music",2775994.004112,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-04-10,International,Tickets & Travel,78762.220595,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-03-28,International,"Business, Office & Industrial",7159597.398488,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-03-20,United States,Home & Garden,10158018.403191,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-03-06,United States,Musical Instruments,1717369.837254,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-01-18,United States,Collectibles & Art,13867628.106030,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-12-14,United States,"Books, Movies & Music",2720092.428804,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-11-30,United States,Video Games,5872316.776973,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-10-29,United States,Health & Beauty,4451298.102413,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-10-16,International,Musical Instruments,2045084.868868,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-10-10,United States,Cell Phones & Telecom,3905363.242290,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-09-11,United States,"Books, Movies & Music",2058727.247982,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-07-29,International,Video Games,1794135.630147,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-03-04,United States,"Books, Movies & Music",1653449.976837,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-02-27,United States,"Books, Movies & Music",2115087.048357,2020-01-01,2020-03-31
